timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,29,8,8,17,50,25,5,14,0.0
0.01,-11,-8,-16,-39,-90,-57,-25,-14,0.0
0.015,-21,-4,-3,-5,-53,-13,-34,-9,0.0
0.02,-27,-3,-4,1,54,9,-14,-28,0.0
0.025,49,-5,-6,-3,-18,9,-4,-15,0.0
0.03,30,0,10,12,46,25,29,42,0.0
0.035,-29,4,2,1,8,12,-14,-32,0.0
0.04,57,0,-2,-9,-49,-49,19,83,0.0
0.045,-31,-8,-6,-7,-19,-9,-46,-18,0.0
0.05,-23,-7,0,5,17,1,22,-47,0.0
0.055,-9,-1,-3,-3,-22,4,-4,17,0.0
0.06,16,1,1,6,18,35,46,20,0.0
0.065,-34,-2,2,1,-10,-13,-59,-47,0.0
0.07,-9,1,-2,-2,-9,-17,40,-29,0.0
0.075,35,-2,-1,-1,-38,-14,-22,4,0.0
0.08,-24,-6,-6,-6,-4,-4,3,-22,0.0
0.085,8,6,3,-4,-72,17,39,61,0.0
0.09,-12,-2,-4,2,54,11,-16,-11,0.0
0.095,-10,-6,-2,3,52,14,20,-18,0.0
0.1,-25,-4,0,5,-18,-25,-6,-3,0.0
0.105,1,2,4,6,100,2,60,10,0.0
0.11,17,3,-5,-9,-3,-18,-68,63,0.0
0.115,-3,-3,-6,-17,-47,-15,36,-67,0.0
0.12,-2,6,9,7,9,10,-23,55,0.0
0.125,-21,-7,-4,-1,21,-15,-45,-34,0.0
0.13,20,2,-2,8,1,19,-16,-1,0.0
0.135,-16,1,8,11,97,6,-37,9,0.0
0.14,-3,-2,-1,2,-12,11,86,15,0.0
0.145,-15,4,0,0,-9,-6,-28,35,0.0
0.15,-46,-11,-10,-1,21,7,-1,-21,0.0
0.155,45,-5,-9,-27,-72,-38,-41,-25,0.0
0.16,17,5,4,5,15,6,-13,2,0.0
0.165,-10,-1,2,8,30,6,3,-10,0.0
0.17,-11,-2,-2,-14,-85,8,23,-7,0.0
0.17500000000000002,10,-1,-1,6,7,-4,20,43,0.0
0.18,-29,-3,-1,-2,-29,-2,-4,-61,0.0
0.185,39,-3,-8,-5,2,-18,3,68,0.0
0.19,33,6,5,3,20,-6,-24,-9,0.0
0.195,-31,-4,-1,1,-13,4,-2,-14,0.0
0.2,-27,-4,-3,-3,7,-4,-15,-37,0.0
0.20500000000000002,-29,-3,-1,5,7,14,18,-18,0.0
0.21,-19,-2,0,-1,16,-7,6,12,0.0
0.215,40,1,-5,-2,-12,0,-6,4,0.0
0.22,46,3,1,5,-6,5,-16,33,0.0
