timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,4,3,6,5,5,1,-1,2,0.0
0.01,-1,-9,-6,-14,8,-1,0,1,0.0
0.015,-1,1,0,40,9,3,-1,-1,0.0
0.02,0,-1,2,-25,-8,-3,-1,-1,0.0
0.025,-7,-12,-22,-6,-6,-6,-6,-5,0.0
0.03,-3,5,18,11,7,1,0,-3,0.0
0.035,9,7,2,5,5,-1,1,2,0.0
0.04,0,7,7,23,17,6,1,2,0.0
0.045,6,3,4,-4,3,3,1,0,0.0
0.05,-7,-11,-7,-4,-4,-1,-1,-1,0.0
0.055,-11,-4,-7,-5,3,-1,-3,-8,0.0
0.06,8,-2,-6,1,-5,-4,-5,3,0.0
0.065,-9,-16,0,-10,-1,0,-5,-3,0.0
0.07,6,11,-3,1,-1,-2,4,-2,0.0
0.075,-2,-3,6,-12,-6,-2,2,2,0.0
0.08,-3,0,-10,-8,-1,5,0,-3,0.0
0.085,0,0,1,6,-17,-3,-1,1,0.0
0.09,-3,0,1,2,23,-1,-6,-1,0.0
0.095,-3,-8,-3,-10,-24,-5,5,-2,0.0
0.1,-5,-6,-2,-1,-10,-1,0,-4,0.0
0.105,1,8,-5,19,7,1,-1,-1,0.0
0.11,4,-3,-2,-20,-14,1,-1,-1,0.0
0.115,-3,-14,-4,-4,-5,1,-2,2,0.0
0.12,-4,-1,-10,-6,-5,-2,-5,-6,0.0
0.125,5,8,6,6,0,1,6,5,0.0
0.13,-6,1,0,0,-1,-5,0,-3,0.0
0.135,-1,0,1,-7,3,-2,-13,-3,0.0
0.14,-1,-5,0,3,-3,3,4,0,0.0
0.145,-5,-9,-7,-2,-3,0,-4,-5,0.0
0.15,3,0,0,1,-4,1,13,5,0.0
0.155,-13,-8,-2,-6,1,-2,1,1,0.0
0.16,14,8,2,-1,-2,-12,-24,9,0.0
0.165,16,21,11,0,1,5,11,2,0.0
0.17,-29,-10,-3,-1,1,5,-23,-30,0.0
0.17500000000000002,27,4,-3,-1,-4,-1,9,30,0.0
0.18,-5,-10,-2,-2,1,1,4,-4,0.0
0.185,-14,-18,-8,0,-1,1,2,-7,0.0
0.19,1,0,1,-6,1,-3,-8,0,0.0
0.195,-6,-2,1,2,1,1,10,-4,0.0
0.2,-4,1,0,12,2,8,-2,-4,0.0
0.20500000000000002,7,21,0,-10,-6,-12,-21,-10,0.0
0.21,5,-6,0,-3,2,9,35,14,0.0
0.215,-7,-5,-1,10,-4,-7,-26,-17,0.0
0.22,-3,0,1,-3,-2,-2,2,9,0.0
0.225,-6,-4,-2,-8,3,4,14,-17,0.0
0.23,-6,-3,-4,-1,-1,-15,-8,-31,0.0
0.23500000000000001,5,4,-8,-14,-6,3,33,42,0.0
0.24,-7,-1,4,10,0,6,18,-1,0.0
0.245,-6,-9,-5,-11,-5,-9,-18,35,0.0
0.25,-8,-10,-13,-13,-11,-15,-39,-3,0.0
0.255,-2,-1,1,-1,8,12,19,11,0.0
0.26,-3,6,2,26,-11,-18,-17,-15,0.0
0.265,-13,-5,-2,1,5,2,38,-23,0.0
0.27,3,1,5,23,-1,-3,-3,-71,0.0
0.275,6,2,-2,6,-7,-7,38,-99,0.0
0.28,10,-5,-4,-4,6,24,57,80,0.0
0.28500000000000003,-19,-15,-8,1,-9,-25,-122,66,0.0
0.29,-14,0,6,7,10,24,-82,36,0.0
0.295,7,2,1,-3,1,1,91,63,0.0
0.3,-3,-4,-1,-18,-14,-22,-11,-20,0.0
0.305,6,16,-4,3,-4,-12,-11,81,0.0
0.31,4,1,-1,-11,-1,0,53,-99,0.0
0.315,-17,-1,-2,0,-1,-8,-115,61,0.0
0.32,24,3,4,-6,1,-4,-46,-70,0.0
0.325,-14,-16,4,6,3,9,9,-18,0.0
0.33,2,-4,-11,-9,-7,6,29,67,0.0
0.335,-16,4,9,22,8,-10,80,-114,0.0
0.34,11,5,-33,-21,-6,-11,-27,108,0.0
0.34500000000000003,8,-3,-22,-21,1,8,-6,-57,0.0
0.35000000000000003,9,12,16,-1,7,7,16,-19,0.0
