timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-1,0,-2,0,-1,-1,-2,-1,0.0
0.01,0,0,-1,-2,0,-2,-1,-1,0.0
0.015,-2,-1,-1,-1,-2,2,-1,0,0.0
0.02,0,0,0,-3,0,-1,-1,1,0.0
0.025,0,0,-1,-2,3,0,-1,-1,0.0
0.03,-1,-2,-1,-1,-4,-5,-3,-3,0.0
0.035,-1,-1,-2,-3,0,2,1,4,0.0
0.04,-1,0,-3,-1,-3,-3,-2,-4,0.0
0.045,0,-1,-1,0,0,0,-1,-1,0.0
0.05,-2,-1,-1,-1,-1,-3,-3,-1,0.0
0.055,0,-1,-2,-2,0,0,-2,-2,0.0
0.06,-1,-1,0,-1,-2,-3,-2,-2,0.0
0.065,-1,-2,0,-1,1,7,-2,-2,0.0
0.07,0,0,-1,-2,-7,-9,1,0,0.0
0.075,-2,-2,-1,-2,0,-2,-5,-4,0.0
0.08,-2,-2,-4,-2,1,-1,5,-1,0.0
0.085,-3,-1,1,0,-4,-2,-1,-1,0.0
0.09,0,-1,-1,-1,1,4,0,0,0.0
0.095,1,0,-1,-2,-5,-5,0,-1,0.0
0.1,-2,-2,-1,0,2,1,-4,-1,0.0
0.105,1,-2,-2,-1,4,1,0,-4,0.0
0.11,0,-2,-1,-1,-5,-4,-3,-2,0.0
0.115,-1,-1,-2,-2,-3,-1,-4,-3,0.0
0.12,-1,0,-1,1,0,4,4,0,0.0
0.125,-2,-1,0,-4,-2,-2,1,0,0.0
0.13,-1,-2,-1,-2,-1,1,-1,0,0.0
0.135,-2,-2,-1,-2,-5,-9,0,-1,0.0
0.14,1,0,-1,0,8,10,0,-1,0.0
0.145,0,0,0,0,-12,-13,-3,-1,0.0
0.15,-3,-1,-1,-2,1,4,-2,-1,0.0
0.155,-1,0,0,-1,-4,-2,5,-2,0.0
0.16,-2,-1,-2,-2,1,3,-2,0,0.0
0.165,0,-1,1,0,4,2,-1,0,0.0
0.17,0,-1,-1,-1,-3,-3,-1,-2,0.0
0.17500000000000002,1,0,-2,-1,-1,1,-3,-1,0.0
0.18,-3,-2,-2,-3,-11,-5,-2,-2,0.0
0.185,-1,-1,-2,-1,4,-1,0,-1,0.0
0.19,0,-1,-1,0,-5,-5,-2,0,0.0
0.195,-1,-1,0,-2,1,3,-2,0,0.0
0.2,-1,-1,0,-1,-2,-3,4,-3,0.0
0.20500000000000002,-1,0,0,-1,-1,0,-2,-2,0.0
0.21,0,-2,-1,-1,0,0,1,-2,0.0
0.215,2,-2,-2,-1,0,-2,-2,-1,0.0
0.22,-1,0,-1,-1,-1,-3,-4,0,0.0
0.225,-1,-2,-2,-2,-1,2,0,-2,0.0
0.23,-1,1,-1,0,2,3,-1,0,0.0
0.23500000000000001,-2,0,-1,-1,-5,-14,-5,-1,0.0
0.24,0,-2,-2,-1,7,9,7,-3,0.0
0.245,-2,-1,-1,-2,-2,-2,-2,0,0.0
0.25,-2,-2,-1,0,-3,-1,-2,-1,0.0
0.255,-1,-1,-1,0,0,1,0,-1,0.0
0.26,-1,-2,-1,-1,-6,-6,-3,-1,0.0
0.265,0,-1,-1,0,1,2,-1,-2,0.0
0.27,-1,-1,0,-1,-2,-3,1,-1,0.0
0.275,-1,0,-1,-3,-1,1,-1,0,0.0
0.28,0,-1,-2,-1,0,-7,-3,-1,0.0
0.28500000000000003,0,-2,-1,-1,-1,1,1,0,0.0
0.29,-1,-1,-1,-2,-3,-5,-2,-2,0.0
0.295,-1,-3,-1,-2,2,3,-1,-2,0.0
0.3,0,0,0,0,0,0,-2,0,0.0
0.305,-1,-1,-2,-2,-7,-7,-4,-3,0.0
0.31,0,-3,-4,-1,1,-2,-2,-1,0.0
0.315,1,-1,-1,-1,-2,-5,-3,-2,0.0
0.32,-1,0,0,-2,-6,-4,-1,0,0.0
0.325,-1,-2,-1,-1,6,6,-3,-1,0.0
0.33,-1,-1,-1,0,-2,-8,-2,0,0.0
0.335,-1,-1,0,-1,-2,4,1,-2,0.0
0.34,-1,-2,0,-1,-3,-7,-4,-2,0.0
0.34500000000000003,-1,-3,-3,1,-1,-1,1,-1,0.0
0.35000000000000003,-1,-1,0,-1,0,1,0,-1,0.0
0.355,-2,-1,-2,-1,1,2,-1,-1,0.0
0.36,-1,-1,0,-2,0,-3,-2,-2,0.0
0.365,-2,-1,0,1,4,1,0,0,0.0
0.37,-1,-1,-2,-3,-6,-2,1,-2,0.0
0.375,-2,-3,-2,0,-1,-1,-2,-1,0.0
0.38,-2,-1,-2,-1,-1,0,0,1,0.0
0.385,-2,0,-1,-2,-1,-1,-4,-3,0.0
0.39,0,-1,0,-1,-2,-7,-3,-1,0.0
0.395,-2,0,-1,-1,-1,-2,-1,-2,0.0
0.4,0,0,-1,1,1,4,1,-2,0.0
0.405,0,-1,-2,-1,1,-6,-2,0,0.0
0.41000000000000003,-1,-1,0,0,2,4,-2,-3,0.0
0.41500000000000004,0,-1,-1,-1,-2,-2,-2,-1,0.0
0.42,-1,0,0,0,-5,-4,-3,-1,0.0
0.425,-1,-1,-1,-2,2,4,-2,-1,0.0
0.43,-1,-1,0,-1,-1,-3,8,-3,0.0
0.435,1,-1,-2,0,1,-3,-3,-2,0.0
0.44,-2,-3,0,-1,-3,-2,-1,1,0.0
0.445,0,0,0,-3,1,1,-2,-1,0.0
0.45,-1,-2,-1,0,-1,-5,-3,0,0.0
0.455,-1,-1,0,-1,0,1,1,-2,0.0
0.46,-1,-1,-3,-1,-1,-4,-1,-3,0.0
0.465,-1,-1,-2,-1,-6,-5,0,-1,0.0
0.47000000000000003,-1,-1,-1,-1,3,7,0,0,0.0
0.47500000000000003,-2,0,0,-1,-9,-11,-4,1,0.0
0.48,-1,-1,-2,-2,-3,-2,-4,-2,0.0
0.485,-1,-1,-2,-1,-1,-1,4,-1,0.0
0.49,0,0,0,-2,-3,0,-1,-2,0.0
0.495,0,-1,-2,1,-1,1,0,0,0.0
0.5,-2,-2,-2,0,8,6,1,0,0.0
0.505,0,-1,-2,-3,-3,-10,-2,0,0.0
0.51,-1,-2,0,-2,-6,-1,-3,0,0.0
0.515,0,-1,-2,0,2,3,-1,-1,0.0
0.52,-1,0,-1,-3,4,-1,2,-2,0.0
0.525,-2,0,-1,0,-4,-3,-2,-4,0.0
0.53,-2,-2,-1,-1,6,5,0,-1,0.0
0.535,-1,-1,-1,-3,-8,-8,-3,-1,0.0
0.54,0,-1,-1,-1,-3,3,-3,-1,0.0
0.545,-1,0,1,0,1,1,0,1,0.0
0.55,-1,0,-1,0,-3,-3,-1,-2,0.0
0.555,-1,0,0,-1,0,-1,-2,-1,0.0
0.56,-1,-3,-2,-1,2,0,-1,0,0.0
0.5650000000000001,0,-3,-1,-3,-8,-5,0,-2,0.0
0.5700000000000001,-1,-3,-1,1,1,0,1,0,0.0
0.5750000000000001,0,-2,0,0,-1,-2,0,-1,0.0
0.58,1,0,1,-1,-1,-3,-2,-1,0.0
0.585,-2,-1,-1,-1,-2,-5,-1,-3,0.0
0.59,1,0,0,0,-1,-1,-2,0,0.0
0.595,-1,-1,-2,-3,2,3,-4,-1,0.0
0.6,-2,0,-1,-2,-2,-3,-5,-3,0.0
0.605,-1,-1,0,-1,-8,3,3,2,0.0
0.61,-2,0,-1,1,4,-2,0,0,0.0
0.615,-1,-3,-1,-2,-1,2,2,-1,0.0
0.62,-1,0,-2,-1,-3,-6,-1,-4,0.0
0.625,0,0,-2,-1,2,6,-1,-2,0.0
0.63,-1,0,-2,-3,-2,-4,-1,-2,0.0
0.635,-2,-3,-1,1,0,1,0,-1,0.0
0.64,0,0,-1,0,-3,0,0,-1,0.0
0.645,0,0,-1,1,-1,-3,-1,-2,0.0
0.65,-1,0,0,-4,-4,-7,-5,-2,0.0
0.655,-1,-2,-1,-2,0,0,-2,-2,0.0
0.66,-1,-1,0,-1,-4,0,1,0,0.0
0.665,0,-2,-3,1,1,0,-1,-1,0.0
0.67,1,0,-1,1,-2,6,0,-1,0.0
0.675,-3,-1,-3,-1,9,-3,-1,-1,0.0
0.68,1,-1,-2,-2,-4,1,-2,1,0.0
0.685,-2,-2,0,-2,-1,-3,-5,-3,0.0
0.6900000000000001,-2,-3,-1,-1,-4,0,0,-3,0.0
0.6950000000000001,0,0,-1,-2,-2,0,-3,0,0.0
0.7000000000000001,-1,-1,-1,-2,1,-4,0,0,0.0
0.705,-1,-1,1,-2,0,-3,-2,1,0.0
0.71,-1,-1,-1,-3,-2,-1,-1,0,0.0
0.715,0,-1,-2,0,-2,-2,0,0,0.0
0.72,-2,-3,-2,0,-3,-4,-2,-2,0.0
0.725,-2,-1,-1,-2,-2,0,-2,-1,0.0
0.73,-1,-1,-2,-2,-1,-5,-5,-1,0.0
0.735,-1,-1,0,-3,-2,3,4,-3,0.0
0.74,-1,1,0,0,2,-4,1,0,0.0
0.745,-1,0,-1,-1,-4,1,1,0,0.0
0.75,-2,-1,-2,-1,-1,-4,-2,0,0.0
0.755,-2,-1,-1,-1,-4,-3,-4,1,0.0
0.76,0,-1,1,-1,-1,2,3,-2,0.0
0.765,-1,-2,0,-2,-3,1,0,-1,0.0
0.77,0,1,0,-1,0,-2,-3,0,0.0
0.775,-2,0,-2,-1,-5,1,-4,-3,0.0
0.78,-2,-2,-1,-1,1,3,-1,-2,0.0
0.785,0,1,-1,-1,1,-1,-2,-1,0.0
0.79,-1,-2,-1,-3,-3,0,0,-1,0.0
0.795,1,-1,-1,1,2,-1,-3,-2,0.0
0.8,-1,-1,0,-1,-1,-3,-1,0,0.0
0.805,-1,-2,-2,-1,0,-3,-2,-1,0.0
0.81,-1,-1,-1,0,-2,1,-1,0,0.0
0.8150000000000001,-2,-1,-1,0,-3,-1,2,-1,0.0
0.8200000000000001,-3,-1,-2,-2,7,6,-1,-1,0.0
0.8250000000000001,-2,-1,-2,0,-4,-13,-1,-2,0.0
0.8300000000000001,-1,-2,0,-1,-2,3,0,-3,0.0
0.835,-1,-1,-3,-2,-1,-1,0,0,0.0
0.84,-2,0,-1,0,-6,-3,-3,-1,0.0
0.845,0,-2,0,-1,1,0,-1,-2,0.0
0.85,-2,-1,-1,1,0,-1,-2,-1,0.0
0.855,-2,-2,0,0,5,2,5,-4,0.0
0.86,0,0,-1,-1,-14,-20,-5,-1,0.0
0.865,0,-1,-3,-1,6,5,-1,-2,0.0
0.87,-2,0,-2,-2,-3,-2,1,-2,0.0
0.875,0,0,0,-1,1,3,0,0,0.0
0.88,-3,-3,-1,0,-2,-3,-2,-2,0.0
0.885,-1,-2,-2,-2,-2,-2,-2,-1,0.0
0.89,1,1,0,0,2,-2,-3,-2,0.0
0.895,1,0,1,1,-2,4,1,-1,0.0
0.9,0,0,-2,-3,0,-9,-3,0,0.0
0.905,-1,1,0,1,-2,1,0,-1,0.0
0.91,-3,-2,-2,-1,2,0,1,1,0.0
0.915,0,0,0,-1,-2,-3,-2,-1,0.0
0.92,0,-1,-1,-1,-2,1,0,-2,0.0
0.925,0,-1,-1,0,2,3,0,1,0.0
0.93,0,-1,0,-2,-2,-5,-1,-2,0.0
0.935,0,0,-2,-1,-2,-2,-3,0,0.0
0.9400000000000001,0,-2,-1,1,1,5,0,-2,0.0
0.9450000000000001,-2,-1,-2,-1,-6,-8,-5,-1,0.0
0.9500000000000001,-4,-2,-2,-3,-3,4,4,-2,0.0
0.9550000000000001,-3,-1,-1,-3,3,0,-4,-2,0.0
0.96,-2,-3,-2,-1,1,1,1,-2,0.0
0.965,0,0,-1,1,0,1,-1,-1,0.0
0.97,-1,-1,-1,0,-1,-5,-3,0,0.0
0.975,-3,-2,-1,-2,-3,-5,0,0,0.0
0.98,0,-1,-1,0,0,0,0,-1,0.0
0.985,-1,-1,-1,-2,0,-1,-2,-1,0.0
0.99,-2,0,0,-1,-1,-2,-3,-2,0.0
0.995,0,0,-2,-1,1,-1,0,-3,0.0
1.0,-1,-1,0,-3,0,0,-1,0,0.0
1.0050000000000001,-2,-2,-1,-2,-3,-1,1,-1,0.0
1.01,1,0,-1,-1,-2,3,-1,-3,0.0
1.0150000000000001,-1,-2,0,-2,10,6,-3,-2,0.0
1.02,-1,-1,-1,-2,-2,0,1,0,0.0
1.025,-1,-1,0,-1,-4,-6,0,-2,0.0
1.03,0,-2,-3,-3,-2,3,0,1,0.0
1.035,-2,-1,-1,0,-2,-1,-1,-2,0.0
1.04,0,-1,-2,1,-1,-11,-3,-2,0.0
1.045,0,-1,0,-1,2,6,0,-2,0.0
1.05,-1,-2,0,0,1,-3,-1,-1,0.0
1.055,-1,-2,-3,-3,-9,-7,-3,-2,0.0
1.06,-2,-2,-1,-1,6,4,-3,-1,0.0
1.065,-2,0,-2,-2,-1,6,-3,-1,0.0
1.07,-1,0,0,0,-3,-12,6,-3,0.0
1.075,-2,0,-1,-1,-5,-6,-2,2,0.0
1.08,-2,-1,0,-3,-2,5,0,0,0.0
1.085,0,-1,-2,-1,1,-6,-4,-2,0.0
1.09,-1,-1,-1,-1,-1,4,-3,-2,0.0
1.095,-2,-1,0,0,-2,3,0,-1,0.0
1.1,0,0,-1,0,-5,-5,-1,-2,0.0
1.105,0,-1,0,-2,1,0,1,-1,0.0
1.11,0,-1,0,-2,-4,-10,-2,0,0.0
1.115,-1,-1,0,0,2,-4,2,0,0.0
1.12,-3,-2,-1,-1,-1,-1,-2,-1,0.0
1.125,0,-1,-1,2,4,1,1,2,0.0
1.1300000000000001,-1,-2,-1,0,6,4,-5,-4,0.0
1.135,-2,-1,-2,-2,-6,-4,1,0,0.0
1.1400000000000001,-1,-2,-1,0,-4,0,0,-2,0.0
1.145,-1,-2,-1,-2,2,2,0,-2,0.0
1.1500000000000001,-2,0,-2,0,-1,0,-2,1,0.0
1.155,0,-1,-1,0,0,-6,-4,-2,0.0
1.16,0,1,0,1,-5,-1,-3,-1,0.0
1.165,-2,-2,-1,-3,7,3,2,-1,0.0
1.17,-1,0,-2,-1,-4,-3,-1,-3,0.0
1.175,-1,-2,-1,-3,-1,-1,-3,-1,0.0
1.18,0,0,-2,1,1,2,0,-1,0.0
1.185,0,-1,0,-1,-10,-7,-2,-1,0.0
1.19,-1,-1,-1,0,3,0,1,0,0.0
1.195,-2,-3,0,0,-1,-3,2,-1,0.0
1.2,-1,-2,0,-2,1,1,-1,-3,0.0
1.205,-2,1,-2,0,-5,-5,-1,0,0.0
1.21,0,-2,-1,0,-3,2,-4,1,0.0
1.215,-2,1,-1,-1,0,-3,8,-3,0.0
1.22,-1,-2,-2,-2,-3,-5,-3,1,0.0
1.225,-2,-2,-2,0,-2,-1,0,-2,0.0
1.23,-1,-2,-1,-1,-1,-3,-3,-1,0.0
1.235,-1,-1,-1,0,0,2,9,2,0.0
1.24,0,0,0,-3,-2,-2,-26,-8,0.0
1.245,-3,-1,-2,-2,-2,-5,2,-3,0.0
1.25,0,0,-1,0,9,6,1,6,0.0
1.2550000000000001,-2,-1,0,0,3,0,-4,-12,0.0
1.26,-2,-1,-1,-1,-3,-4,7,2,0.0
1.2650000000000001,0,0,-1,-1,-4,2,3,-3,0.0
1.27,-1,-3,-2,-2,-1,-4,-2,-1,0.0
1.2750000000000001,1,-2,-4,-2,0,4,9,4,0.0
1.28,-1,0,-2,1,-1,-2,-19,-9,0.0
1.285,-1,-1,-1,0,2,-2,-2,0,0.0
1.29,-3,-1,-2,-2,3,8,4,0,0.0
1.295,-1,0,0,0,-5,-12,-5,1,0.0
1.3,0,1,-1,0,1,0,8,2,0.0
1.305,-1,-2,-2,-1,-5,-4,-3,0,0.0
1.31,-2,0,0,-2,-5,-5,-5,-5,0.0
1.315,-1,0,-2,0,2,7,-2,0,0.0
1.32,-1,-3,-1,-1,2,1,6,1,0.0
1.325,-2,-1,-1,-2,-1,-4,-4,0,0.0
1.33,0,0,0,-2,-5,-1,4,-1,0.0
1.335,-1,-1,-1,-1,-5,-5,-9,-2,0.0
1.34,-1,0,0,-1,1,4,6,0,0.0
1.345,0,0,-1,-2,-1,1,-1,1,0.0
1.35,-1,-2,-2,-1,-1,-5,-4,-2,0.0
1.355,0,-1,-1,-2,-2,0,-5,1,0.0
1.36,0,-1,-1,-1,-1,-4,3,0,0.0
1.365,-2,0,-2,1,5,7,-1,-1,0.0
1.37,-1,0,0,-2,-5,-12,4,-3,0.0
1.375,0,-2,-1,1,3,4,-2,-1,0.0
1.3800000000000001,-2,0,-1,-1,-5,0,3,0,0.0
1.385,-1,-1,1,0,-4,-6,-3,0,0.0
1.3900000000000001,-1,-2,1,-2,-1,0,-1,-3,0.0
1.395,0,-2,-2,-2,-8,-8,-5,-1,0.0
1.4000000000000001,-1,-2,-2,-2,7,8,1,-1,0.0
1.405,-1,1,-1,0,-6,-7,-3,-1,0.0
1.41,-1,-2,-3,0,3,6,10,2,0.0
1.415,0,-1,1,-1,-9,-6,1,-2,0.0
1.42,-1,-3,-3,-1,-4,-1,-6,-2,0.0
1.425,0,-1,-2,0,-1,-2,-1,-1,0.0
1.43,1,0,-2,0,0,-2,-5,-1,0.0
1.435,-2,-3,0,-1,1,2,6,1,0.0
1.44,-3,-1,-1,0,1,-1,1,0,0.0
1.445,-1,-3,0,-1,0,1,-1,-1,0.0
1.45,-1,-2,0,0,-5,-2,0,-1,0.0
1.455,0,-1,-1,0,3,3,-5,-1,0.0
1.46,1,0,-2,-3,-4,-15,-4,-1,0.0
1.465,-1,-2,-2,-2,-1,-2,-1,-1,0.0
1.47,-2,-2,-3,0,-2,7,-2,-1,0.0
1.475,0,0,-2,-1,3,1,-4,-1,0.0
1.48,1,1,-2,1,-2,-1,-1,-3,0.0
1.485,0,-1,0,-2,-3,-5,0,-1,0.0
1.49,-3,-2,1,1,-3,-7,-3,-1,0.0
1.495,-3,-2,-2,-2,2,2,-2,-2,0.0
1.5,-3,-1,-3,-4,-14,-5,8,5,0.0
1.5050000000000001,-1,-1,-1,-3,2,0,3,-5,0.0
1.51,-1,-2,0,-3,-2,-4,-7,-3,0.0
1.5150000000000001,-2,-1,0,-1,-1,-4,-3,-1,0.0
1.52,-2,-3,0,0,1,0,-1,0,0.0
1.5250000000000001,-1,-2,-1,-1,-3,1,8,1,0.0
1.53,1,0,0,0,-3,-2,-1,-1,0.0
1.5350000000000001,0,0,-1,0,1,3,-5,0,0.0
1.54,-1,-1,-1,-1,-2,-6,3,-2,0.0
1.545,-1,-1,-1,0,-4,2,7,-1,0.0
1.55,-3,-2,-3,0,13,6,-31,-11,0.0
1.555,-1,-1,-1,-1,-6,-4,-2,-1,0.0
1.56,0,0,0,-1,3,-1,-2,2,0.0
1.565,-1,-1,0,0,1,1,0,0,0.0
1.57,-2,1,-1,-3,-5,-5,5,1,0.0
1.575,-1,-1,-1,-1,-4,-6,0,-2,0.0
1.58,-1,-1,0,-1,4,3,-3,-2,0.0
1.585,-2,-1,-1,-3,-3,-2,-5,-4,0.0
1.59,-1,-2,-1,-1,1,0,4,1,0.0
1.595,-1,-2,-2,-1,1,-1,-4,-1,0.0
1.6,-1,0,1,0,-3,-4,2,-3,0.0
1.605,0,-1,-2,0,0,3,-6,-1,0.0
1.61,0,-1,0,-1,-6,-16,-3,-1,0.0
1.615,-1,0,-3,-1,-4,-3,0,0,0.0
1.62,-2,-2,-2,-2,6,7,0,-4,0.0
1.625,-2,-1,0,-1,-3,1,-4,0,0.0
1.6300000000000001,-1,-1,-1,-1,2,2,1,-1,0.0
1.635,-1,-1,1,-2,0,1,1,0,0.0
1.6400000000000001,0,-1,-1,-1,-3,-8,0,-2,0.0
1.645,-1,1,-1,0,-1,-1,-2,-2,0.0
1.6500000000000001,-2,-1,-1,-1,-1,2,4,0,0.0
1.655,-2,-2,0,0,-2,-3,4,0,0.0
1.6600000000000001,-4,-1,0,-3,0,6,5,0,0.0
1.665,-2,-1,0,-1,0,-5,-21,-4,0.0
1.67,-1,-2,1,-2,-5,-3,-1,1,0.0
1.675,-1,-1,-1,-2,0,0,5,0,0.0
1.68,0,-2,-1,-1,-2,-2,3,1,0.0
1.685,0,-2,-2,-1,-1,-3,3,0,0.0
1.69,-1,-1,-2,1,-2,0,-3,-3,0.0
1.695,1,0,-1,0,-1,-2,-4,-1,0.0
1.7,0,-3,-1,-1,-3,-3,-4,0,0.0
1.705,0,-3,-2,1,0,3,2,0,0.0
1.71,-1,1,-1,0,-12,-15,-2,-1,0.0
1.715,-3,-2,-3,-3,9,10,0,-4,0.0
1.72,0,0,-2,-1,-3,-7,-6,-2,0.0
1.725,0,-2,0,1,1,1,5,0,0.0
1.73,-2,-3,-2,-2,3,3,6,0,0.0
1.735,-2,-1,0,1,-5,-6,-5,-3,0.0
1.74,-2,-1,-2,0,0,1,-4,-4,0.0
1.745,-2,-4,-3,-3,0,-2,-2,-1,0.0
1.75,1,1,-1,0,-3,0,2,-1,0.0
1.7550000000000001,0,-2,-1,-2,0,-1,0,-2,0.0
1.76,-1,-2,-1,-1,2,-2,-3,-3,0.0
1.7650000000000001,0,0,0,-2,-7,-6,2,-1,0.0
1.77,-1,-1,-1,1,6,6,7,0,0.0
1.7750000000000001,-2,-1,-1,-3,-7,-7,-26,-9,0.0
1.78,-2,-2,-1,1,3,2,2,1,0.0
1.7850000000000001,-1,0,-2,-1,-2,-2,-2,-2,0.0
1.79,0,-1,0,-1,-1,-2,-1,-1,0.0
1.795,1,0,-2,-1,-1,2,6,2,0.0
1.8,-1,-2,0,0,1,-4,-3,-1,0.0
1.805,-3,-1,-1,1,2,2,1,-2,0.0
1.81,0,-1,-2,-2,-4,1,4,1,0.0
1.815,-1,-1,-2,-1,-5,0,2,-1,0.0
1.82,0,-3,-1,-3,-3,-8,-3,-1,0.0
1.825,-1,-1,0,-2,3,2,-3,1,0.0
1.83,-4,-3,-2,-2,1,3,-7,0,0.0
1.835,-2,-1,-1,-1,-2,-9,10,-1,0.0
1.84,0,1,0,1,1,2,1,3,0.0
1.845,-1,-1,-2,0,-2,-2,-1,-1,0.0
1.85,0,-2,-2,-1,-6,-4,-8,-4,0.0
