timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-4,-6,-7,-7,1,-4,-5,-4,0.0
0.01,-3,-7,-28,-2,3,-1,-1,-3,0.0
0.015,-1,10,42,9,6,1,-1,-2,0.0
0.02,3,-1,-7,-1,-8,-2,1,1,0.0
0.025,2,5,-8,3,2,1,1,0,0.0
0.03,0,-4,13,-11,-14,-3,-2,-2,0.0
0.035,1,9,-11,9,5,-1,0,1,0.0
0.04,-1,-3,12,11,18,1,0,-3,0.0
0.045,-2,-10,0,-10,-20,-7,-4,-3,0.0
0.05,-7,-4,-19,-5,-5,-4,-5,-6,0.0
0.055,-2,5,-4,-20,-14,-2,0,-1,0.0
0.06,-1,-10,-9,-1,4,1,0,-1,0.0
0.065,3,10,14,24,31,4,2,1,0.0
0.07,-3,-4,13,-1,-10,-3,-1,-1,0.0
0.075,0,-5,2,-2,-9,-3,-3,-3,0.0
0.08,-3,3,-16,-4,-3,-1,-2,-4,0.0
0.085,-4,-7,-9,-10,-4,2,-2,0,0.0
0.09,0,3,16,9,-1,-1,-2,-1,0.0
0.095,1,-12,-4,-7,-2,0,0,-2,0.0
0.1,-1,17,-7,-5,-6,-2,-1,0,0.0
0.105,-7,-25,-29,-6,-2,-5,-4,-6,0.0
0.11,1,4,5,-1,-4,0,2,0,0.0
0.115,-3,-13,-17,-15,-14,-6,-3,-2,0.0
0.12,-4,-4,22,1,-4,0,-2,-3,0.0
0.125,4,18,23,17,20,2,-1,-2,0.0
0.13,-3,-15,-20,-2,-3,-5,-3,0,0.0
0.135,-2,6,-3,-6,-1,-1,-2,-3,0.0
0.14,-2,-13,-34,-9,-9,-2,-1,-3,0.0
0.145,-4,-8,7,-7,-13,-1,-1,2,0.0
0.15,2,7,16,-2,-4,0,-2,-1,0.0
0.155,-4,-14,-12,8,9,-1,-1,-3,0.0
0.16,-1,7,2,2,6,0,-2,0,0.0
0.165,0,-8,-5,2,8,0,1,0,0.0
0.17,-2,0,-6,-6,-17,-2,-1,-2,0.0
0.17500000000000002,1,4,15,-5,-4,-2,0,-2,0.0
0.18,0,2,-14,-3,4,-2,-2,-2,0.0
0.185,-4,-14,19,2,0,-1,-1,-2,0.0
0.19,-3,-18,-41,-7,-3,2,-2,-2,0.0
0.195,2,36,7,-6,-4,1,0,1,0.0
0.2,6,12,49,13,4,1,1,3,0.0
0.20500000000000002,5,11,-18,-1,-2,-4,1,-1,0.0
0.21,-3,-23,-21,1,15,-2,-3,-4,0.0
0.215,-3,-7,-8,1,-6,0,-3,-2,0.0
0.22,-4,-4,20,-5,-2,-3,-2,-4,0.0
0.225,0,-3,-25,-9,-12,-1,-1,1,0.0
0.23,-1,11,27,4,-1,0,1,0,0.0
0.23500000000000001,4,-2,-9,2,5,0,-2,0,0.0
0.24,-4,-4,-8,-6,-4,-2,-2,0,0.0
0.245,-4,-5,0,-6,-7,-3,-1,-2,0.0
0.25,-2,1,-3,2,3,0,0,-1,0.0
0.255,-1,-6,7,-1,-6,-14,0,-3,0.0
0.26,4,5,-2,0,-4,12,1,1,0.0
0.265,-2,-3,-9,5,10,2,-2,-3,0.0
0.27,-2,-1,2,-2,5,-8,-1,-4,0.0
0.275,0,3,5,5,7,0,3,1,0.0
0.28,-1,-1,0,-7,-16,-6,-2,-2,0.0
0.28500000000000003,-1,-2,-11,-5,-3,2,-3,-1,0.0
0.29,-4,-9,14,-4,-8,4,1,-3,0.0
0.295,4,13,-9,9,18,39,13,7,0.0
0.3,0,-5,-15,1,7,-6,-3,-4,0.0
0.305,0,0,8,-1,-5,5,1,0,0.0
0.31,-1,9,1,3,0,-7,-4,-3,0.0
0.315,-4,-15,13,-4,-11,-7,-6,-2,0.0
0.32,-3,-6,-18,-5,-5,-2,0,-1,0.0
0.325,-1,6,3,-3,-6,-5,-1,0,0.0
0.33,2,0,-5,-2,2,1,1,2,0.0
0.335,-4,-7,-4,-1,-3,-5,-4,-6,0.0
0.34,1,12,2,3,1,2,-2,0,0.0
0.34500000000000003,-2,-9,8,-4,-5,-7,-3,-2,0.0
0.35000000000000003,1,10,1,3,-2,-2,-1,0,0.0
0.355,-1,-5,7,4,4,-1,-2,0,0.0
0.36,-5,-10,-16,-12,-7,-29,-3,-5,0.0
0.365,-3,-5,-1,-7,-6,-3,-1,-5,0.0
0.37,-3,6,-2,-11,-6,-4,-2,-2,0.0
0.375,3,6,-2,5,6,-5,-1,-1,0.0
0.38,0,-3,8,5,0,-2,0,1,0.0
0.385,-1,5,1,3,1,5,1,-2,0.0
0.39,-2,-4,-9,-10,-12,-1,-1,-1,0.0
0.395,-2,1,10,-1,-3,-7,-3,-4,0.0
0.4,0,5,12,3,-1,7,2,0,0.0
0.405,-1,2,-22,-2,3,-4,-3,-1,0.0
0.41000000000000003,-3,-11,5,2,8,3,-2,-2,0.0
0.41500000000000004,-3,-3,-14,-10,-9,-1,-3,-1,0.0
0.42,2,2,-2,-2,1,6,-1,-1,0.0
0.425,-1,2,18,8,1,-2,0,-2,0.0
0.43,-3,0,-12,-6,-15,-32,-11,-9,0.0
0.435,-1,-1,-1,0,5,-2,0,0,0.0
0.44,-1,-7,-2,-4,-14,-1,-3,-2,0.0
0.445,-5,-16,-11,-13,-9,-7,-3,-2,0.0
0.45,-5,16,16,7,9,-1,-3,-3,0.0
0.455,0,-11,-15,1,6,-1,-1,0,0.0
0.46,3,12,-8,5,8,7,2,0,0.0
0.465,3,9,7,1,-10,-2,-2,-1,0.0
0.47000000000000003,2,4,18,-1,-5,5,3,1,0.0
0.47500000000000003,-4,-3,3,1,3,-1,-4,-5,0.0
0.48,-8,-14,-19,-6,1,-6,-3,-3,0.0
0.485,-4,-9,-11,-7,-9,-5,-2,-2,0.0
0.49,9,11,13,13,9,9,5,4,0.0
0.495,-1,-3,-4,2,-4,-2,-1,-1,0.0
0.5,-2,-2,-6,-13,-7,-5,-3,-3,0.0
0.505,-1,-6,-5,-8,1,-2,-2,-4,0.0
0.51,1,-2,-1,0,0,10,2,2,0.0
0.515,0,-1,17,7,2,-1,-1,0,0.0
0.52,-1,-1,0,6,6,3,-1,1,0.0
0.525,-2,-2,-14,-1,-4,-2,-2,-1,0.0
0.53,-2,-6,6,0,-3,3,1,-1,0.0
0.535,1,8,-5,-6,-10,-5,-1,-1,0.0
0.54,0,1,8,6,10,5,0,-1,0.0
0.545,2,2,7,7,14,26,2,3,0.0
0.55,-2,-6,-15,-3,-1,-4,-1,-1,0.0
0.555,-3,-9,-1,-8,-7,-3,-1,-1,0.0
0.56,-6,-11,18,-2,8,-4,-5,-4,0.0
0.5650000000000001,0,17,-27,-3,1,-3,-1,-1,0.0
0.5700000000000001,4,1,7,3,-1,1,0,3,0.0
0.5750000000000001,3,-4,2,2,-6,3,1,0,0.0
0.58,2,6,8,0,-4,0,0,1,0.0
0.585,-4,-10,-3,-4,-3,-6,-4,-1,0.0
0.59,-4,7,5,-4,0,-1,-2,-2,0.0
0.595,-2,-5,-9,0,-1,-6,-3,-2,0.0
0.6,-3,-9,-8,1,-3,-1,-2,-2,0.0
0.605,-4,-2,10,1,-3,-18,-5,-7,0.0
0.61,1,-1,-36,-7,4,11,4,2,0.0
0.615,-1,-1,3,-6,-11,-2,0,-2,0.0
0.62,2,3,5,4,-4,-2,0,0,0.0
0.625,0,3,6,2,-2,-11,-1,-1,0.0
0.63,-3,-13,0,-7,-9,-4,-2,-2,0.0
0.635,-2,-5,-21,-5,8,3,-1,-3,0.0
0.64,1,0,-29,-4,0,7,-1,-1,0.0
0.645,3,6,52,12,4,2,3,1,0.0
0.65,2,3,-6,7,9,-2,-1,-4,0.0
0.655,2,2,2,-2,-3,2,1,1,0.0
0.66,-5,-6,-8,-5,-6,-8,-3,-3,0.0
0.665,-2,-3,-16,-4,-4,1,-1,-1,0.0
0.67,-3,-8,5,-12,-15,-3,-4,-1,0.0
0.675,-3,0,5,2,8,-2,-4,-3,0.0
