timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,4,11,15,10,-72,-35,-2,0,0.0
0.01,2,0,-2,-4,34,20,-1,0,0.0
0.015,-5,-7,-9,1,4,39,-6,-4,0.0
0.02,-2,-1,-8,-27,1,5,1,0,0.0
0.025,-1,-6,-5,0,-6,1,3,1,0.0
0.03,0,-1,-2,0,-8,-1,0,-1,0.0
0.035,-6,-5,-11,-17,-9,-16,0,0,0.0
0.04,5,12,17,29,-8,-17,-4,-3,0.0
0.045,1,7,18,15,23,12,-1,-2,0.0
0.05,0,-4,-5,-4,3,4,-1,1,0.0
0.055,-9,-14,-17,-24,-18,11,4,0,0.0
0.06,-5,-10,-19,-12,-22,-2,-2,0,0.0
0.065,1,-2,4,-1,12,5,-1,1,0.0
0.07,7,9,11,9,14,-15,-7,-2,0.0
0.075,1,0,-7,0,3,-25,-10,2,0.0
0.08,-2,2,11,0,-11,1,-7,11,0.0
0.085,-9,-18,-20,1,85,13,-1,-4,0.0
0.09,11,8,-28,-17,-11,0,-2,-2,0.0
0.095,3,0,40,1,-32,-25,0,1,0.0
0.1,-2,20,29,15,5,-7,-7,-8,0.0
0.105,-8,-5,-15,-8,10,-2,-1,-1,0.0
0.11,-5,-18,-3,-3,3,-5,0,0,0.0
0.115,-3,-8,-88,-1,6,-3,-4,-5,0.0
0.12,7,14,88,13,22,6,5,0,0.0
0.125,6,-7,-34,-23,-6,2,0,3,0.0
0.13,2,-2,-18,1,-3,-3,-1,-1,0.0
0.135,2,1,7,1,0,-2,-1,-1,0.0
0.14,2,-1,-3,4,7,2,-2,2,0.0
0.145,-16,-12,-7,-4,1,15,0,-7,0.0
0.15,10,9,12,5,-3,-6,1,4,0.0
0.155,-3,-2,-15,-10,-4,-13,3,-4,0.0
0.16,-10,-11,-9,-3,-6,-1,-2,-1,0.0
0.165,4,3,18,14,-3,-7,-4,-5,0.0
0.17,-9,-12,-13,-9,-5,11,0,-4,0.0
0.17500000000000002,0,4,7,5,-1,-1,-10,3,0.0
0.18,0,3,-2,-7,-6,-10,-1,-4,0.0
0.185,-10,-11,-12,-7,-5,6,14,0,0.0
0.19,4,-2,7,5,4,0,-14,-2,0.0
0.195,6,2,-1,-1,1,-1,1,0,0.0
0.2,-16,-2,-10,-7,-3,7,-10,-8,0.0
0.20500000000000002,15,9,1,-1,0,2,5,8,0.0
0.21,-14,-9,-1,1,-1,-3,5,0,0.0
0.215,-14,-3,2,2,-1,-9,-11,-4,0.0
0.22,1,-4,-7,-3,-4,-1,11,0,0.0
0.225,48,23,17,10,6,20,-9,21,0.0
0.23,-53,-24,-22,-17,-13,-41,-6,-38,0.0
0.23500000000000001,7,10,6,6,2,-1,-3,2,0.0
0.24,1,-3,5,-3,1,11,9,17,0.0
0.245,26,15,12,16,7,-4,-7,-8,0.0
0.25,-33,3,4,-4,0,-3,1,-1,0.0
0.255,-24,-13,-15,-8,-5,4,-2,-7,0.0
0.26,18,-5,0,-2,-2,-10,-1,1,0.0
0.265,-18,-6,-11,-9,-8,-2,1,1,0.0
0.27,37,-1,2,2,3,32,3,15,0.0
0.275,-6,-2,1,-1,-2,2,3,-1,0.0
0.28,-2,1,-4,-1,-4,0,-4,-7,0.0
0.28500000000000003,-3,-6,-4,-3,-3,-4,-3,-4,0.0
0.29,2,0,6,0,3,-8,-1,-3,0.0
0.295,5,-9,0,3,-1,-10,3,2,0.0
0.3,11,13,4,5,-5,-16,-4,-1,0.0
0.305,-20,-12,6,4,-2,-21,1,-4,0.0
0.31,-5,4,2,-1,-3,4,1,-2,0.0
0.315,15,-11,-11,-16,-3,4,6,6,0.0
0.32,7,-4,-2,-7,0,-20,-4,1,0.0
0.325,-32,-1,11,17,-1,-11,-5,-16,0.0
0.33,28,9,7,9,2,11,1,11,0.0
0.335,3,-6,-7,-7,-10,-46,-3,-3,0.0
0.34,-19,-16,-1,-1,1,-1,-5,-10,0.0
0.34500000000000003,-8,-25,-18,-21,-1,1,0,2,0.0
0.35000000000000003,11,-2,-2,5,1,-12,-3,3,0.0
0.355,1,3,12,-10,4,24,5,0,0.0
0.36,-16,-3,0,13,-3,-16,-6,-11,0.0
0.365,13,20,26,32,-3,-32,-1,8,0.0
0.37,7,-3,-9,-7,-4,-9,-1,2,0.0
0.375,-12,-6,-7,-4,0,-7,-3,-4,0.0
0.38,0,-8,-16,-23,0,-9,0,2,0.0
0.385,-8,4,4,-8,0,17,-1,-6,0.0
0.39,-6,-2,-10,-3,1,5,2,-4,0.0
0.395,-5,-14,-22,-18,-10,9,-1,-7,0.0
0.4,7,5,8,16,5,21,2,2,0.0
0.405,2,9,-2,-5,-3,-26,-6,-3,0.0
0.41000000000000003,7,38,24,25,4,-22,2,3,0.0
0.41500000000000004,0,11,-23,21,9,-30,-6,-2,0.0
0.42,-13,-8,-5,-54,-17,2,-2,-4,0.0
0.425,-3,8,-42,39,27,-23,-7,-2,0.0
0.43,7,5,47,-26,-9,0,2,8,0.0
0.435,7,14,-15,28,-3,-35,-8,5,0.0
0.44,3,16,27,3,8,5,2,2,0.0
0.445,-26,-65,-70,-91,10,63,10,-4,0.0
0.45,12,29,38,89,42,12,-7,0,0.0
0.455,13,46,60,-7,-40,19,5,4,0.0
0.46,-19,-19,-26,-72,-90,-8,-10,-14,0.0
0.465,10,4,1,-5,-21,-18,-5,3,0.0
0.47000000000000003,-13,-32,-28,-25,14,17,2,-3,0.0
0.47500000000000003,-6,-21,1,7,31,20,5,-1,0.0
0.48,6,2,-3,54,31,-13,2,3,0.0
0.485,-12,-7,17,-18,-2,10,1,-8,0.0
0.49,-3,-13,-16,-18,-28,-23,-3,1,0.0
0.495,-1,1,-4,-5,-16,-15,-6,-8,0.0
0.5,-18,-21,-15,0,8,14,3,-3,0.0
0.505,23,15,41,25,9,-13,-3,13,0.0
0.51,-5,-10,-15,-5,13,-22,-6,-5,0.0
0.515,2,6,20,35,57,17,6,5,0.0
0.52,8,8,-6,-16,-37,-29,-3,-1,0.0
0.525,-9,-7,1,22,11,3,4,-4,0.0
0.53,-7,-15,-39,-81,-83,-8,-11,-11,0.0
0.535,-12,-27,-19,-57,42,23,-9,-12,0.0
0.54,6,1,24,87,123,12,6,9,0.0
0.545,9,16,18,28,79,13,12,4,0.0
0.55,-3,-15,-25,-64,-60,-33,-8,-1,0.0
0.555,9,3,34,104,96,21,5,9,0.0
0.56,7,5,15,-29,17,0,27,-3,0.0
0.5650000000000001,-12,-28,-52,-79,-18,9,-53,1,0.0
0.5700000000000001,-8,-21,-18,18,127,26,37,21,0.0
0.5750000000000001,-19,-26,-33,-128,-128,-61,-95,-62,0.0
0.58,15,7,33,116,-19,10,99,37,0.0
0.585,30,-1,22,44,58,36,38,83,0.0
0.59,-22,-19,3,22,47,56,-102,-91,0.0
0.595,-14,-16,0,1,31,-4,107,-7,0.0
0.6,1,-6,5,10,44,11,28,-2,0.0
0.605,2,-2,8,13,-2,44,57,19,0.0
0.61,20,11,9,14,1,41,32,36,0.0
0.615,7,5,6,101,68,-36,-31,12,0.0
0.62,2,7,-25,-111,-81,31,-28,-1,0.0
0.625,-8,6,-18,-35,-39,-30,-12,-20,0.0
0.63,0,11,-4,4,-10,45,17,12,0.0
0.635,2,23,5,23,-16,23,-4,-1,0.0
0.64,-7,15,-19,6,38,-3,-29,-3,0.0
0.645,-2,32,14,8,-34,-7,-13,-19,0.0
0.65,0,29,2,17,-34,-25,-15,-5,0.0
0.655,-1,21,-16,-8,1,26,10,14,0.0
0.66,1,25,-4,-37,-23,-10,-32,-5,0.0
0.665,-10,22,7,38,7,30,-5,-30,0.0
0.67,-2,17,-17,-24,43,-14,63,2,0.0
0.675,6,16,-4,-3,-43,-2,31,11,0.0
0.68,3,21,3,26,76,-18,-16,22,0.0
0.685,-9,12,1,-2,1,-30,-26,-73,0.0
0.6900000000000001,-3,8,0,-19,-40,-76,1,9,0.0
0.6950000000000001,7,2,-9,-20,50,-11,-15,20,0.0
0.7000000000000001,-8,-9,-8,-8,33,-7,-56,-23,0.0
0.705,2,-7,-5,-2,-45,-20,6,15,0.0
0.71,4,0,9,-15,-12,8,-4,8,0.0
0.715,1,-10,3,-1,-7,6,-5,-5,0.0
0.72,11,-5,11,56,-19,-21,27,16,0.0
0.725,-10,-17,-1,-65,-56,-34,-33,1,0.0
0.73,-2,-8,7,22,49,27,3,-1,0.0
0.735,-2,-9,0,-27,-58,30,7,4,0.0
0.74,-14,-22,-6,12,-41,-14,-11,-11,0.0
0.745,2,-9,5,-7,-26,-16,17,-3,0.0
0.75,0,-11,4,-5,2,-37,-6,2,0.0
0.755,-7,-16,-10,-10,-19,-21,-15,12,0.0
0.76,5,-7,9,29,51,-1,-40,-21,0.0
0.765,-10,-13,3,-5,41,-29,17,28,0.0
0.77,-1,-11,-14,-45,-38,-15,36,29,0.0
0.775,4,-7,1,-22,-28,-26,61,8,0.0
0.78,-14,-17,-23,42,-4,-29,-39,7,0.0
0.785,-3,-5,-10,-69,10,-6,-45,-20,0.0
0.79,-4,0,12,106,48,23,1,25,0.0
0.795,28,11,9,-11,1,37,50,28,0.0
0.8,29,-11,-17,0,-5,7,88,-5,0.0
0.805,-3,4,1,-37,-84,1,-67,-22,0.0
0.81,77,14,-11,-6,39,-11,64,21,0.0
0.8150000000000001,-106,-23,15,103,61,1,-123,-36,0.0
0.8200000000000001,74,36,38,15,86,28,-70,0,0.0
0.8250000000000001,97,47,4,94,9,52,127,127,0.0
