timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,0,-1,1,3,3,0,0,-1,0.0
0.01,1,0,0,6,1,-1,0,-1,0.0
0.015,1,2,2,3,0,1,0,-2,0.0
0.02,-2,-3,-6,-12,-5,-1,-2,-2,0.0
0.025,-2,-1,0,-2,0,0,-1,-1,0.0
0.03,-3,-5,-4,-5,-2,-2,-1,-2,0.0
0.035,-1,-3,-1,1,0,-2,-5,-1,0.0
0.04,0,-2,1,2,0,-2,-1,-2,0.0
0.045,0,1,1,1,-2,-1,-1,-1,0.0
0.05,1,-1,-1,1,-1,-1,0,0,0.0
0.055,0,1,-1,2,3,0,2,1,0.0
0.06,-2,-2,-3,1,-1,-1,5,1,0.0
0.065,-2,-2,-3,-4,-5,-7,-11,-1,0.0
0.07,-5,-4,-3,-2,-2,-3,-13,-6,0.0
0.075,2,0,7,13,10,4,0,-1,0.0
0.08,-3,0,-8,-5,8,2,-2,-1,0.0
0.085,3,2,4,21,30,13,9,4,0.0
0.09,1,5,7,-15,-45,-11,-1,-1,0.0
0.095,-2,-7,-35,-61,-27,-9,-2,1,0.0
0.1,4,5,17,48,55,18,5,3,0.0
0.105,-5,-4,-10,-26,-45,-11,-4,-4,0.0
0.11,-2,-1,-7,-20,-20,-10,-4,0,0.0
0.115,-2,-2,-2,-1,-6,-2,-3,-3,0.0
0.12,5,5,9,25,21,7,12,7,0.0
0.125,-6,-6,-6,-6,-8,-7,-25,-15,0.0
0.13,-4,-6,-17,-31,-12,-6,-2,0,0.0
0.135,-2,-5,-8,-34,-14,-4,-6,-2,0.0
0.14,4,7,10,39,20,9,7,7,0.0
0.145,-1,1,2,-16,-11,-4,15,2,0.0
0.15,4,6,21,78,39,12,6,2,0.0
0.155,-3,-4,-7,-45,-18,-16,5,3,0.0
0.16,-4,-4,-8,-6,9,-2,-12,-9,0.0
0.165,0,-2,1,18,9,5,-10,-9,0.0
0.17,-10,-9,-20,-67,-58,-29,-18,-11,0.0
0.17500000000000002,3,2,7,36,28,7,4,1,0.0
0.18,1,2,11,20,3,4,7,5,0.0
0.185,-3,-1,-2,0,-3,-2,3,4,0.0
0.19,12,12,22,70,57,24,17,7,0.0
0.195,-1,-2,-1,5,-11,7,-3,-2,0.0
0.2,-4,-5,-18,-43,-26,-8,-4,-3,0.0
0.20500000000000002,3,-1,-1,-20,3,0,0,3,0.0
0.21,-5,-6,-14,-38,-19,-6,-6,-3,0.0
0.215,-3,-2,-4,-34,-12,-6,1,0,0.0
0.22,-4,-3,2,17,6,0,-9,-10,0.0
0.225,6,9,9,26,5,-1,4,4,0.0
0.23,1,1,4,13,15,9,12,6,0.0
