timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-2,-3,-1,-1,0,-1,0,-1,0.0
0.01,-2,-2,-1,0,0,0,1,0,0.0
0.015,-1,0,-1,-1,0,-1,-2,-1,0.0
0.02,-1,-2,1,-2,0,-1,0,0,0.0
0.025,0,-1,-3,-2,-2,0,-1,-1,0.0
0.03,0,-2,0,-1,-2,-1,1,-3,0.0
0.035,-3,-3,0,0,2,0,0,-1,0.0
0.04,1,-2,-2,-2,-3,0,-2,0,0.0
0.045,-2,1,0,0,-2,-1,-2,-1,0.0
0.05,-1,-1,-1,-1,-2,0,-2,0,0.0
0.055,-1,-2,-1,-1,-2,0,0,-1,0.0
0.06,-2,-1,-1,0,-1,-2,-2,-2,0.0
0.065,0,-1,0,-2,-1,-1,-2,0,0.0
0.07,-2,0,-1,-2,-2,0,-1,0,0.0
0.075,1,0,-2,-1,-1,-3,-2,-2,0.0
0.08,0,-3,-1,-1,0,-1,-3,0,0.0
0.085,-3,-1,-2,0,-2,-2,0,0,0.0
0.09,-2,-1,-2,0,0,-1,0,0,0.0
0.095,-1,-1,-2,-3,-2,0,-1,1,0.0
0.1,-3,0,-3,1,0,-1,0,-3,0.0
0.105,0,0,0,-1,-2,-1,0,-1,0.0
0.11,-1,0,0,0,0,-3,-2,-1,0.0
0.115,-3,0,0,0,-2,-1,0,-2,0.0
0.12,-1,-1,1,-2,0,-3,-2,-1,0.0
0.125,0,-2,-3,0,-1,1,0,-3,0.0
0.13,-1,-2,-1,-1,-1,0,-1,0,0.0
0.135,0,-3,-2,-1,-1,0,1,-1,0.0
0.14,-2,-1,-3,-2,-1,0,-1,0,0.0
0.145,0,0,-1,-1,0,-1,-1,1,0.0
0.15,-2,-2,0,-1,0,-2,-2,0,0.0
0.155,-1,1,0,0,0,-1,-1,-2,0.0
0.16,-2,0,0,-2,1,0,-2,0,0.0
0.165,-2,-2,-1,-2,-3,-2,-1,-1,0.0
0.17,0,1,-1,-2,-1,1,-1,0,0.0
0.17500000000000002,-2,-1,-3,0,-2,-2,-2,-1,0.0
0.18,-3,-1,-2,0,-2,-1,-2,-2,0.0
0.185,-1,1,-2,0,-1,0,-3,0,0.0
0.19,-3,-2,2,-2,-2,-1,0,-1,0.0
0.195,-1,-1,-2,-1,0,-1,-1,0,0.0
0.2,-1,-1,-3,-1,0,1,1,-2,0.0
0.20500000000000002,-2,1,-1,-1,-1,-1,-1,-1,0.0
0.21,0,-1,-3,-2,0,0,-1,-3,0.0
0.215,0,-3,0,-3,-1,-1,-2,0,0.0
0.22,0,-3,-1,-1,0,-2,-1,2,0.0
0.225,-2,-3,-1,-2,-2,0,-1,0,0.0
0.23,0,-2,-2,-2,-1,-2,-1,-3,0.0
0.23500000000000001,-3,-2,1,-1,-1,-1,-1,-1,0.0
0.24,-1,0,0,-2,-2,-1,-2,-1,0.0
0.245,-3,0,-1,0,-1,-2,0,-2,0.0
0.25,-1,-1,-3,0,-2,0,1,-2,0.0
0.255,0,-3,-1,-1,-1,-2,-2,-1,0.0
0.26,1,-1,-1,-1,0,-1,-1,-2,0.0
0.265,0,0,-1,-1,1,-1,1,-1,0.0
0.27,0,0,-2,-1,-1,-2,-2,-2,0.0
0.275,-2,1,0,-1,-2,0,0,-3,0.0
0.28,-1,-2,1,-2,-2,-1,-2,0,0.0
0.28500000000000003,0,-3,1,-1,-1,-1,-2,-2,0.0
0.29,0,0,0,0,0,-3,-1,0,0.0
0.295,-2,-2,-1,0,-2,-1,-1,-1,0.0
0.3,-1,-2,-1,-1,0,-2,-2,-1,0.0
0.305,-2,0,0,-2,-1,0,0,0,0.0
0.31,-2,-2,0,0,0,-1,-1,0,0.0
0.315,-1,0,-2,-2,-2,-1,-2,0,0.0
0.32,-2,0,-2,-1,-2,-2,1,-3,0.0
0.325,0,-2,-1,-1,0,-3,0,0,0.0
0.33,1,0,-2,0,0,0,0,-1,0.0
0.335,-2,0,-2,-1,0,-2,-1,-1,0.0
0.34,-2,-2,-2,-1,-2,-1,-2,-2,0.0
0.34500000000000003,-2,1,0,-3,-2,0,-2,-2,0.0
0.35000000000000003,-3,-1,-2,-2,-2,-1,-2,-1,0.0
0.355,-1,1,-3,-2,-2,-1,0,-2,0.0
0.36,0,-1,0,-2,-2,0,0,0,0.0
0.365,0,-3,-1,0,-3,-2,-1,0,0.0
0.37,-1,-1,-2,-1,-2,-2,0,-1,0.0
0.375,-1,-1,-2,-1,-1,0,0,-1,0.0
0.38,-1,2,-1,-1,0,-1,1,-1,0.0
0.385,-1,-2,-1,0,-2,-1,-3,-4,0.0
0.39,1,0,-1,-1,-1,-1,-3,-1,0.0
0.395,-2,-2,-1,-1,-2,-2,-1,-3,0.0
0.4,-2,0,0,1,-1,0,-2,-1,0.0
0.405,-2,-2,-1,-1,1,-1,-1,0,0.0
0.41000000000000003,-2,0,-1,-1,-2,-2,-1,0,0.0
0.41500000000000004,0,-2,0,-1,-2,0,-1,-2,0.0
0.42,-1,-1,-1,-1,-2,-1,0,0,0.0
0.425,0,-2,-1,0,-1,-1,-2,0,0.0
0.43,-1,-1,-1,0,-1,-2,-2,-1,0.0
0.435,0,-1,0,0,-1,-2,-2,1,0.0
0.44,-1,-1,-2,0,-2,0,-1,-2,0.0
0.445,-2,-2,-3,0,-3,-3,-2,0,0.0
0.45,-1,1,0,-1,-3,-1,-2,-2,0.0
0.455,0,1,-2,-1,-2,-1,0,-2,0.0
0.46,-3,-3,-2,-2,0,-3,-3,0,0.0
0.465,-1,-1,-1,-1,1,0,0,-1,0.0
0.47000000000000003,-3,-3,0,-1,-2,0,-1,-1,0.0
0.47500000000000003,-1,0,-1,-1,0,-2,-1,-1,0.0
0.48,0,-1,-2,-1,0,-2,0,-2,0.0
0.485,1,-2,0,-2,-2,0,1,-2,0.0
0.49,-1,0,-2,-3,1,1,-2,-1,0.0
0.495,0,-1,-1,-2,-2,1,-1,-2,0.0
0.5,-3,-2,0,-2,-1,-1,-1,-2,0.0
0.505,-2,0,-1,-1,0,-2,0,-1,0.0
0.51,0,-2,-1,0,-1,0,1,0,0.0
0.515,0,-2,-1,0,-2,0,0,-1,0.0
0.52,-2,-1,-1,-2,-1,-2,1,-1,0.0
0.525,-2,-2,0,0,-1,-2,-3,-1,0.0
0.53,-2,0,-1,-1,0,-1,-1,-1,0.0
0.535,1,0,0,-2,0,-2,-2,-2,0.0
0.54,2,0,-1,-1,-3,-1,0,-1,0.0
0.545,1,-2,-2,-1,0,0,-1,0,0.0
0.55,-1,-3,-1,-2,-2,-2,-2,1,0.0
0.555,-2,-2,-1,-2,-1,-1,-1,-2,0.0
0.56,0,-1,1,0,-1,-2,-1,-2,0.0
0.5650000000000001,-2,0,-1,-1,-2,0,0,-4,0.0
0.5700000000000001,-1,0,-1,-1,1,0,0,-2,0.0
0.5750000000000001,-1,-2,-1,-2,-1,-1,-2,1,0.0
0.58,1,-2,-1,1,0,0,-1,0,0.0
0.585,-3,0,-2,-2,-2,0,-1,-2,0.0
0.59,0,-3,-2,0,-2,-2,-1,1,0.0
0.595,1,0,-2,-3,-1,0,-1,-1,0.0
0.6,0,-2,-2,-1,0,-1,-1,-2,0.0
0.605,-1,-1,-2,-1,-1,-2,-3,-2,0.0
0.61,-1,-2,-2,-1,-2,-1,-1,-2,0.0
0.615,-1,-2,-1,-1,-1,-2,0,-3,0.0
0.62,-4,-1,-2,-1,-4,-2,-1,-1,0.0
0.625,0,-2,-1,0,-1,-1,0,0,0.0
0.63,-1,-2,-1,-2,-1,0,-4,-1,0.0
0.635,-2,-1,-2,-1,-2,-1,-1,-1,0.0
0.64,0,-1,-2,-1,0,-1,-2,-1,0.0
0.645,-1,0,-1,-1,0,-2,1,-2,0.0
0.65,-1,-1,0,1,-1,-2,1,-1,0.0
0.655,-2,-2,-1,1,0,-1,0,1,0.0
0.66,0,0,1,-1,-4,-3,-1,-2,0.0
0.665,0,-1,0,-2,-1,0,-3,-1,0.0
0.67,-1,0,-2,-1,-2,-2,-2,-1,0.0
0.675,0,-1,-2,-1,-1,-1,-1,-1,0.0
0.68,-2,0,0,-1,-1,-1,-1,-2,0.0
0.685,1,-1,0,-2,-1,-1,-1,0,0.0
0.6900000000000001,0,-2,0,-1,-1,-1,-2,-2,0.0
0.6950000000000001,0,-1,-1,-2,-1,-1,-1,-2,0.0
0.7000000000000001,-1,-1,-2,-2,-2,0,-1,0,0.0
0.705,-2,1,-1,-3,-1,0,-1,-2,0.0
0.71,-2,-1,-1,-3,1,-3,2,-1,0.0
0.715,-2,-2,-2,-1,-2,-1,-1,-1,0.0
0.72,0,-4,-2,0,0,0,-1,0,0.0
0.725,-2,0,-1,2,-1,-2,-1,-1,0.0
0.73,-1,-2,-3,-1,-2,-2,-2,-3,0.0
0.735,0,0,-1,-1,-1,-2,-2,-2,0.0
0.74,0,0,0,0,-2,-1,-2,-1,0.0
0.745,0,-2,1,-2,-2,-1,-1,-3,0.0
0.75,-3,-2,1,-2,-2,1,0,-1,0.0
0.755,-3,-1,-1,0,-2,-1,-1,0,0.0
0.76,0,-2,-1,-1,-1,0,0,-2,0.0
0.765,0,0,-1,-1,-2,-2,-1,0,0.0
0.77,0,1,-1,0,0,-1,-2,1,0.0
0.775,0,-2,0,-2,-1,-2,0,0,0.0
0.78,-3,-1,-1,-1,-1,-2,0,0,0.0
0.785,-1,-2,-2,-1,-2,-1,0,-1,0.0
0.79,-2,-3,-3,-1,1,-1,0,-2,0.0
0.795,-1,0,-1,-2,0,0,-1,0,0.0
0.8,-1,0,-1,-1,-1,-2,-1,-2,0.0
0.805,0,-1,-2,0,0,-2,-2,-1,0.0
0.81,0,-2,0,-1,-1,0,0,-1,0.0
0.8150000000000001,1,-1,0,-1,-2,1,-1,0,0.0
0.8200000000000001,0,-1,-1,0,-1,-1,0,-2,0.0
0.8250000000000001,-2,-1,-1,-1,-2,0,-1,0,0.0
0.8300000000000001,-1,2,-1,0,-2,-3,-2,-1,0.0
0.835,-1,0,-1,-1,0,-1,0,-2,0.0
0.84,-2,-1,-1,-2,0,-4,-2,-1,0.0
