timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,noise
0.005,-1,-1,-1,-1,-2,-1,-1,1,0.0
0.01,-1,-2,-3,0,-2,-2,1,-1,0.0
0.015,0,-2,0,-2,-3,-5,-1,-1,0.0
0.02,-7,-1,-1,0,-1,-1,1,-4,0.0
0.025,0,-1,0,-1,0,-1,-1,-3,0.0
0.03,0,-3,-1,-1,0,1,0,-2,0.0
0.035,0,-2,-1,-2,-2,0,0,0,0.0
0.04,0,0,-1,0,-1,-2,-2,-1,0.0
0.045,-3,0,0,-2,0,-1,0,-1,0.0
0.05,-2,1,0,-1,-1,-1,-2,-3,0.0
0.055,0,-1,-1,0,1,-4,-1,-3,0.0
0.06,1,-2,-1,-1,-2,-1,0,0,0.0
0.065,3,0,-1,1,-1,-1,-4,-2,0.0
0.07,-3,1,0,-1,-1,-3,-2,0,0.0
0.075,-2,-2,-1,-1,-1,-1,1,0,0.0
0.08,-3,-2,-1,-2,-2,-1,-2,0,0.0
0.085,-1,0,-1,-1,-2,-3,-2,-2,0.0
0.09,0,1,1,-1,-1,-1,-2,-1,0.0
0.095,-3,-1,-1,-2,0,2,0,0,0.0
0.1,0,-1,-1,0,-2,-2,0,0,0.0
0.105,-3,-2,-2,-1,-1,-2,-1,1,0.0
0.11,1,-2,-3,-4,-2,4,1,1,0.0
0.115,-2,-1,-1,-2,0,2,-1,-2,0.0
0.12,0,0,-1,-1,0,-4,-2,-2,0.0
0.125,-2,-2,0,-2,0,0,1,0,0.0
0.13,2,0,-1,1,0,-3,-3,-2,0.0
0.135,3,-2,-4,-1,-1,1,2,2,0.0
0.14,-4,-2,0,0,-1,-2,-3,-2,0.0
0.145,0,0,-2,-2,-1,-1,1,0,0.0
0.15,0,0,-1,-2,1,-4,-2,-1,0.0
0.155,-1,0,-1,-3,-1,-1,0,-1,0.0
0.16,-2,0,0,-1,1,0,-1,0,0.0
0.165,-2,-1,-3,-1,-1,0,-1,1,0.0
0.17,0,-2,-2,0,-2,-1,-1,-1,0.0
0.17500000000000002,-2,0,-2,-1,0,-2,1,-1,0.0
0.18,2,-1,0,-2,-1,-3,0,-2,0.0
0.185,0,1,0,-1,-1,-2,-3,-3,0.0
0.19,0,-1,-2,0,-2,0,-1,0,0.0
0.195,-2,-3,1,-1,-1,0,-1,-2,0.0
0.2,0,0,0,1,-2,-3,-2,-3,0.0
0.20500000000000002,-1,-2,-2,-1,-2,-1,0,-1,0.0
0.21,-3,-2,0,-1,-2,0,-1,-2,0.0
0.215,0,-1,0,-1,-2,2,-2,-1,0.0
0.22,-6,-1,-1,-1,-2,1,0,-2,0.0
0.225,-1,-2,-2,-4,-3,1,0,0,0.0
0.23,-1,-2,-3,-1,-2,-1,1,-2,0.0
0.23500000000000001,0,1,0,-1,1,-1,-2,1,0.0
0.24,0,1,-2,-1,-1,-2,-1,0,0.0
0.245,-1,-1,-1,1,-1,-4,-4,-3,0.0
0.25,-6,-3,-1,-2,0,-1,0,-4,0.0
0.255,-1,-2,-2,-1,-1,-3,2,-1,0.0
0.26,0,0,-2,0,-2,-1,-1,2,0.0
0.265,-3,-1,-2,-2,1,0,-1,-1,0.0
0.27,2,0,0,-1,0,-1,-1,1,0.0
0.275,-1,0,-2,0,-1,-3,-3,-4,0.0
0.28,-2,-1,-1,-2,1,-1,-1,-1,0.0
0.28500000000000003,-1,-3,0,-1,0,0,1,1,0.0
0.29,2,-2,-1,0,-1,-1,-3,-3,0.0
0.295,-3,-1,-2,-1,-2,0,-2,0,0.0
0.3,5,-1,-1,-1,-2,1,1,2,0.0
0.305,-5,0,-1,1,-1,-1,-1,-2,0.0
0.31,0,-1,-2,0,1,-4,-2,0,0.0
0.315,-1,-1,-3,-1,-1,-1,0,-1,0.0
0.32,4,0,0,-2,0,0,0,1,0.0
0.325,-2,-1,-1,-2,-2,2,-3,-2,0.0
0.33,-3,0,0,-2,-2,-2,0,0,0.0
0.335,-2,-2,-2,0,-1,-2,-4,-3,0.0
0.34,0,-2,-3,-1,-2,-2,0,1,0.0
0.34500000000000003,2,-2,0,0,-1,1,1,1,0.0
0.35000000000000003,-3,0,-2,0,-1,0,0,-2,0.0
0.355,0,-3,0,-2,-3,-1,-2,0,0.0
0.36,-4,-1,-2,-1,0,-2,-4,-3,0.0
0.365,-2,-1,0,0,-1,-2,0,-3,0.0
0.37,2,-2,-4,-1,-3,1,0,1,0.0
0.375,0,0,-3,-1,-3,0,1,1,0.0
0.38,-5,-2,1,1,-2,-3,0,-1,0.0
0.385,-6,0,0,0,0,-3,-3,-5,0.0
